persona,n_train_clients,n_txns_per_month,outflow_per_month,inflow_per_month,frac_card_payment,cash_p2p_share,n_distinct_mcc,n_active_categories,n_live_streams
High-velocity spenders,604,7.113237639553429,670.4612028064524,2850.8648480258857,0.6386048395261719,0.13157894736842105,10.0,3.0,2.0
Low-key everyday users,222,2.9610126582278484,236.66229660191925,766.165243902439,0.6789083557951483,0.09646401985111663,8.0,1.0,1.0
Subscription regulars,586,5.005966587112171,427.60082268778746,1757.9687122945702,0.6818181818181818,0.10606060606060606,10.0,2.0,1.0
Transfer & cash movers,588,4.757856472795497,482.7592549598987,2359.576422634271,0.56,0.175,9.0,1.0,1.0
