model,macro_f1,cloud,gym,insurance,mobile,music,software,streaming,none
rule_logreg_blend,0.48665365287908746,0.518918918918919,0.5760000000000001,0.4727272727272728,0.509433962264151,0.3952095808383234,0.3926940639269407,0.44565217391304346,0.5825932504440497
due_date_rule_baseline,0.4844204458488582,0.5435897435897437,0.5267489711934156,0.4752475247524752,0.5238095238095238,0.4342857142857143,0.39655172413793105,0.4444444444444444,0.5306859205776173
global_logreg_baseline,0.46010883913762063,0.5125,0.5128205128205127,0.4534412955465587,0.4669603524229075,0.3592814371257485,0.383177570093458,0.4228571428571428,0.5698324022346369
shared_family_ranker,0.4530339669086537,0.47398843930635837,0.5058365758754864,0.47169811320754723,0.4577114427860696,0.36477987421383645,0.3636363636363637,0.4,0.5866209262435678
clustered_logistic_experts,0.4507369566393611,0.45751633986928103,0.5163636363636364,0.4471544715447155,0.46222222222222226,0.3493975903614458,0.3818181818181818,0.42857142857142855,0.5628517823639775
two_stage_hurdle,0.4444668752378307,0.48750000000000004,0.5112781954887218,0.4266666666666667,0.43317972350230416,0.33540372670807456,0.3773584905660377,0.3977272727272727,0.5866209262435678
