method,train_macro_f1,valid_macro_f1,config,n_changed_vs_baseline,bootstrap_delta_95_low,bootstrap_delta_95_high,bootstrap_p_delta_gt_0
project_baseline,0.49201898243100856,0.4844204458488582,Exact stream-level reproduction of models.rule_based.model.rule_predict,0,0.0,0.0,0.0
stream_reproduction,0.49201898243100856,0.4844204458488582,"{""family_aggregation"": ""min"", ""gap_cv_penalty_days"": 0.0, ""max_overdue_days"": 5.0, ""per_label_overdue"": [], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 0.0}",0,0.0,0.0,0.0
corrected_family_aggregation,0.48966744507310017,0.4842920847631108,"{""family_aggregation"": ""closest_live"", ""gap_cv_penalty_days"": 0.0, ""max_overdue_days"": 5.0, ""per_label_overdue"": [], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 0.0}",12,-0.0057125325087978435,0.0052976677932455455,0.492
train_selected_global_gate,0.49217888287160616,0.48049543869108047,"{""family_aggregation"": ""min"", ""gap_cv_penalty_days"": 0.0, ""max_overdue_days"": 7.0, ""per_label_overdue"": [], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 0.0}",8,-0.007794115698043194,-0.0006975506257173018,0.0035
train_selected_confidence,0.49123007861447293,0.4813039208701345,"{""family_aggregation"": ""closest_live"", ""gap_cv_penalty_days"": 2.0, ""max_overdue_days"": 7.0, ""per_label_overdue"": [], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 2.0}",30,-0.011443309942603067,0.004966806672453362,0.2325
train_selected_per_label_min,0.49684838359065614,0.48458040844596834,"{""family_aggregation"": ""min"", ""gap_cv_penalty_days"": 0.0, ""max_overdue_days"": 7.0, ""per_label_overdue"": [[""cloud"", 5.0], [""gym"", 7.0], [""insurance"", 7.0], [""mobile"", 10.0], [""music"", 7.0], [""software"", 0.0], [""streaming"", 5.0]], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 0.0}",16,-0.006036322860749674,0.006715230690854067,0.531
train_selected_per_label_corrected,0.49698415860802836,0.48532524098763347,"{""family_aggregation"": ""closest_live"", ""gap_cv_penalty_days"": 2.0, ""max_overdue_days"": 7.0, ""per_label_overdue"": [[""cloud"", 5.0], [""gym"", 7.0], [""insurance"", 7.0], [""mobile"", 10.0], [""music"", 7.0], [""software"", 0.0], [""streaming"", 5.0]], ""trial_gate"": ""baseline"", ""weak_keyword_penalty_days"": 2.0}",35,-0.00879663667453134,0.011026880138611509,0.5885
