iteration,persona,cadence,grace_days,short_gate,mean_fold_delta,positive_folds,selected
1,Multi-subscription active,recent3_median_gap,0,False,-0.027535473114127084,0,
1,Multi-subscription active,recent3_median_gap,3,True,-0.011496011014087593,1,
1,Multi-subscription active,recent3_median_gap,3,False,-0.01744404642733005,1,
1,Multi-subscription active,recent3_median_gap,5,True,-0.008333025324075604,0,
1,Multi-subscription active,recent3_median_gap,5,False,-0.014605131063761378,1,
1,Multi-subscription active,recent3_median_gap,7,True,-0.009017333728481392,0,
1,Multi-subscription active,recent3_median_gap,7,False,-0.014732179216036968,0,
1,Multi-subscription active,recent3_median_gap,10,True,-0.010945196214756092,0,
1,Multi-subscription active,recent3_median_gap,10,False,-0.016649612596577,0,
1,Multi-subscription active,calendar_dom,0,True,-0.03313983552356929,0,
1,Multi-subscription active,calendar_dom,0,False,-0.037411767232327954,0,
1,Multi-subscription active,calendar_dom,3,True,-0.032560704029086465,0,
1,Multi-subscription active,calendar_dom,3,False,-0.03683592630187097,0,
1,Multi-subscription active,calendar_dom,5,True,-0.034456091459772756,0,
1,Multi-subscription active,calendar_dom,5,False,-0.03870836909729882,0,
1,Multi-subscription active,calendar_dom,7,True,-0.03496186992576694,0,
1,Multi-subscription active,calendar_dom,7,False,-0.039210836763352186,0,
1,Multi-subscription active,calendar_dom,10,True,-0.03771102312313753,0,
1,Multi-subscription active,calendar_dom,10,False,-0.04224740319638424,0,
1,Multi-subscription active,median_gap,5,True,0.0,0,True
1,Quiet / no detected cycle,median_gap,0,True,0.0,0,
1,Quiet / no detected cycle,median_gap,0,False,0.0,0,
1,Quiet / no detected cycle,median_gap,3,True,0.0,0,
1,Quiet / no detected cycle,median_gap,3,False,0.0,0,
1,Quiet / no detected cycle,median_gap,5,True,0.0,0,
1,Quiet / no detected cycle,median_gap,5,False,0.0,0,
1,Quiet / no detected cycle,median_gap,7,True,0.0,0,
1,Quiet / no detected cycle,median_gap,7,False,0.0,0,
1,Quiet / no detected cycle,median_gap,10,True,0.0,0,
1,Quiet / no detected cycle,median_gap,10,False,0.0,0,
1,Quiet / no detected cycle,mean_gap,0,True,0.0,0,
1,Quiet / no detected cycle,mean_gap,0,False,0.0,0,
1,Quiet / no detected cycle,mean_gap,3,True,0.0,0,
1,Quiet / no detected cycle,mean_gap,3,False,0.0,0,
1,Quiet / no detected cycle,mean_gap,5,True,0.0,0,
1,Quiet / no detected cycle,mean_gap,5,False,0.0,0,
1,Quiet / no detected cycle,mean_gap,7,True,0.0,0,
1,Quiet / no detected cycle,mean_gap,7,False,0.0,0,
1,Quiet / no detected cycle,mean_gap,10,True,0.0,0,
1,Quiet / no detected cycle,mean_gap,10,False,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,0,True,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,0,False,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,3,True,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,3,False,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,5,True,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,5,False,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,7,True,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,7,False,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,10,True,0.0,0,
1,Quiet / no detected cycle,trimmed_mean_gap,10,False,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,0,True,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,0,False,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,3,True,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,3,False,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,5,True,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,5,False,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,7,True,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,7,False,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,10,True,0.0,0,
1,Quiet / no detected cycle,recent3_median_gap,10,False,0.0,0,
1,Quiet / no detected cycle,calendar_dom,0,True,0.0,0,
1,Quiet / no detected cycle,calendar_dom,0,False,0.0,0,
1,Quiet / no detected cycle,calendar_dom,3,True,0.0,0,
1,Quiet / no detected cycle,calendar_dom,3,False,0.0,0,
1,Quiet / no detected cycle,calendar_dom,5,True,0.0,0,
1,Quiet / no detected cycle,calendar_dom,5,False,0.0,0,
1,Quiet / no detected cycle,calendar_dom,7,True,0.0,0,
1,Quiet / no detected cycle,calendar_dom,7,False,0.0,0,
1,Quiet / no detected cycle,calendar_dom,10,True,0.0,0,
1,Quiet / no detected cycle,calendar_dom,10,False,0.0,0,
1,Quiet / no detected cycle,median_gap,5,True,0.0,0,True
1,Short or lapsed explorer,median_gap,0,True,-0.0005671780823910622,2,
1,Short or lapsed explorer,median_gap,0,False,-0.0007656506195107826,3,
1,Short or lapsed explorer,median_gap,3,True,-8.456072200546672e-06,1,
1,Short or lapsed explorer,median_gap,3,False,0.0007047370811724019,3,
1,Short or lapsed explorer,median_gap,5,True,0.0,0,
1,Short or lapsed explorer,median_gap,5,False,-0.00026594082124171693,3,
1,Short or lapsed explorer,median_gap,7,True,-0.0010199589884483883,1,
1,Short or lapsed explorer,median_gap,7,False,-0.001612413594312878,2,
1,Short or lapsed explorer,median_gap,10,True,-0.0023537263697650745,1,
1,Short or lapsed explorer,median_gap,10,False,-0.004863229049295104,1,
1,Short or lapsed explorer,mean_gap,0,True,-0.0011230597411059028,2,
1,Short or lapsed explorer,mean_gap,0,False,-0.002255251449900819,3,
1,Short or lapsed explorer,mean_gap,3,True,-0.000963202157525589,1,
1,Short or lapsed explorer,mean_gap,3,False,-0.001209820829597641,3,
1,Short or lapsed explorer,mean_gap,5,True,-0.0006574987445761681,2,
1,Short or lapsed explorer,mean_gap,5,False,-0.0016234503772979635,3,
1,Short or lapsed explorer,mean_gap,7,True,-0.002770031746554735,1,
1,Short or lapsed explorer,mean_gap,7,False,-0.004032139971345527,1,
1,Short or lapsed explorer,mean_gap,10,True,-0.004377511609120033,1,
1,Short or lapsed explorer,mean_gap,10,False,-0.007521355596526569,1,
1,Short or lapsed explorer,trimmed_mean_gap,0,True,-0.0005153780307310951,3,
1,Short or lapsed explorer,trimmed_mean_gap,0,False,-0.0016533278840184518,3,
1,Short or lapsed explorer,trimmed_mean_gap,3,True,-0.000963202157525589,1,
