persona,stream_count,live_count,category_diversity,live_share,mature_share,regularity,amount_stability,recentness,n_clients,share_clients,cadence,grace_days,short_gate
Mature regular,1.3446676970633693,1.3091190108191655,1.3276661514683152,0.982225656877898,0.8686244204018547,0.7324082403945276,0.9735643736695943,0.8460320517143215,647,0.3235,recent3_median_gap,7,True
Multi-subscription active,3.386986301369863,2.5976027397260273,2.933219178082192,0.8006414437921288,0.598126630789302,0.8079782925830726,0.9726231673801828,0.7936687361544749,584,0.292,median_gap,5,True
Quiet / no detected cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,0.0985,median_gap,5,True
Short or lapsed explorer,2.3024475524475525,0.7115384615384616,1.7972027972027973,0.28473193473193475,0.29332750582750583,0.8451747940819563,0.9686583535436777,0.43239269686188053,572,0.286,median_gap,3,False
