persona,stream_count,live_count,category_diversity,live_share,mature_share,regularity,amount_stability,recentness
Mature regular,0.3970100784049584,0.503971985707576,0.45263107557355287,1.0,1.0,0.8665760568381388,1.0,1.0
Multi-subscription active,1.0,1.0,1.0,0.8151298412801059,0.6885906229905309,0.9559895754590183,0.9990332367177079,0.9381071728266767
Quiet / no detected cycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short or lapsed explorer,0.6797924017337567,0.27392120075046905,0.6127066162092432,0.2898844402384922,0.3376919862462567,1.0,0.994960764528159,0.5110831155695813
