label,original_mean_rule,global_median_rule,supervised_persona_router
cloud,0.5435897435897437,0.5625000000000001,0.5595854922279794
gym,0.5267489711934156,0.54320987654321,0.5387755102040817
insurance,0.4752475247524752,0.49504950495049505,0.49019607843137253
mobile,0.5238095238095238,0.5288461538461539,0.5238095238095238
music,0.4342857142857143,0.4545454545454545,0.4482758620689655
software,0.39655172413793105,0.4102564102564103,0.4051724137931035
streaming,0.4444444444444444,0.4444444444444444,0.4421052631578947
none,0.5306859205776173,0.5359712230215828,0.5253623188405796
