persona,definition,selected_rule,action_id,n_train,n_valid,median_monthly_outflow_train,median_transactions_per_month_train,median_active_categories_train,median_live_streams_train,valid_macro_f1_within_persona
Everyday spenders,Average outgoing payment <= 140.61,"Median cadence, 7-day grace",median_g7,1700,828,475.11025925144224,5.359801488833747,2.0,1.0,0.4825311154016042
High-ticket spenders,Average outgoing payment > 140.61,"Median cadence, 3-day grace",median_g3,300,172,593.5323058619944,4.729173183192576,1.0,1.0,0.5323396858538716
